"STREET NAME";"STREET NAME 1ST PART";"STREET NAME 2ND PART";"TOWN IF NOT GLASGOW";"ALTERNATIVE SPELLING";"DIRECTORY START scan 585";"DIRECTORY END scan 789"
"Canon Street";;;;;;
"Canonbury Terrace";;;"Garnethill";;;
"Caprera Place";;;"Kinning Park";;;
"Carbeth Street";;;"Possilpark";;;
"Carfin Street";;;"Govanhill";;;
"Carlton Court";;;;;;
"Carlton Place";;;;;;
"Carlton Terrace";;;"Kelvinside";;;
"Carnarvon Street";;;;;;
"Carrick Street";;;;;;
"Carrickarden Street";;;;;;
"Carrington Street";;;;;;
"Castle Street";;;;"east, west";;
"Castlebank Street";;;"Partick";;;
"Cathcart Road";;;"Glasgow, Govanhill";"east, west, south";;
"Cathedral Street";;;;"north, south";;
"Catherine Street";;;"Glasgow, Anderston, Langside";;;
"Cathkin Road";;;"Langside";;;
"Cathkin Terrace";;;"Mount Florida";;;
"Cavendish Street";;;;;;
"Cecil Place";;;;;;
"Cecil Street";;;"Glasgow, Hillhead";;;
"Cedar Street";;;;;;
"Centre Street";;;;;;
"Chalmers Street";;;;;;
"Charing Cross";;;;;;
"Charles Street";;;"Calton, Townhead";;;
"Charlotte Lane";;;;;;
"Charlotte Street";;;"Glasgow, Port Dundas";;;
"Cheapside Street";;;;;;
"Chesham Plase";;;;;;
"Church Place";;;;;;
"Church Street";;;"Partick";;;
"Circus Drive";;;"Dennistoun";;;
"Clairmont Gardens";;;;;;
"Claremint Street";;;;"north";;
"Claremont Terrace";;;;;;
"Clarence Street";;;"Kingston";;;
"Claredon Place";;;;;;
"Claredon Street";;;"Glasgow, Partick";;;
"Clarinda Terrace";;;;;;
"Claythorn Street";;;;;;
"Clayton Terrace";;;;;;
"Cleland Street";;;;;;
"Cleveland Street";;;;;;
"Cliffort Street";;;;;;
"Clifton Place";;;;;;
"Clifton Street";;;;;;
"Clyde Grove Terrace";;;;;;
"Clyde Place";;;;;;
"Clyde Buildings";;;;;;
"Clyde Street";;;"Glasgow, Anderston, Calton, Port Dundas";"east, west, north";;
"Great Clyde Street";;;;;;
"Clyde Terrace";;;;;;
"Clydeview";;;;;;
"Clydeview Terrace";;;;;;
"Clyde View";;;"Whiteinch";;;
"Coatbridge Street";;;;;;
"Cobden Place";;;"Mount Florida";;;
"Coburg Place";;;"Springburn";;;
"Coburg Street";;;;"north, south";;
"Cochrane Street";;;;;;
"Colebrooke Street";;;"Hillhead";;;
"College";;;"Hillhead";;;
"College Street";;;;"west";;
"Comely Park Place";;;;;;
"Comely Park Street";;;;;;
"Commerce Street";;;;;;
"Ciommercial Road";;;;;;
"Cook Street";;;;;;
"Coomassie Place";;;;;;
"Corn Street";;;;;;
"Cornwall Street";;;;;;
"Corunna Street";;;;;;
"Couper Street";;;;;;
"Cowan Street";;;"Hillhead";;;
"Cowcaddens";;;;;;
"Cowlairs Road";;;"Springburn";;;
"Craig Street";;;"Kinning Park";;;
"Craig Park";;;;;;
"Craig Park Terrace";;;;;;
"Craighall Road";;;;"east, west";;
"Craigiehall Street";;;;;;
"Craignestock Place";;;;;;
"Craignestock Street";;;;;;
"Cranston Street";;;;;;
"Crawford Street";;;"Glasgow, Port Dundas, Partick, Port Eglinton";;;
"Cromwell Street";;;;;;
"Crookston Place";;;;;;
"Crookston Street";;;"Kingston";;;
"Cross Street";;;"Partick";;;
"Crossburn Street";;;;;;
"Crossloan Road";;;"Kelvinside";;;
"Crow Road";;;"Partick";;;
"Crown Circus";;;"Hillhead";;;
"Crown Gardens";;;"Hillhead";;;
"Crown Place";;;"Crosshill";;;
"Crown Street";;;;"east, west";;
"Crown Point Road";;;;;;
"Crown Point Street";;;;;;
"Crown Terrace";;;"Hillhead";;;
"Croy Place";;;;;;
"Cubic Street";;;;;;
"Cumberland Lane";;;;;;
"Cumberland Street";;;"Laurieston, Calton";"west";;
"Cumberland Road";;;;;;
"Cumbrae Place";;;"Govanhill";;;
"Daisy Street";;;"Govanhill";;;
"Dale Street";;;"Bridgeton, Tradeston";;;
"Dalhouse Place";;;;;;
"Dalhouse Street";;;;;;
"Dalmarnock Road";;;;"new, old";;
"Darnley Street";;;"Pollockshields";;;
"David Street";;;;;;
"Dean Street";;;;;;
"Deanside Lane";;;;;;
"Denmark Street";;;"Possilpark";;;
"Derby Crescent";;;"Kelvonside";;;
"Derby Street";;;;;;
"Derby Terrace";;;;;;
"Devon Street";;;;;;
"Dixon Avenue";;;"Govanhill";;;
"Dixon Street";;;;"east, west";;
"Dobbie's Loan";;;;;;
"Doncaster Street";;;;;;
"Doon Terrace";;;"Pollockshields";;;
"Dorset Street";;;;;;
"Douglas Street";;;"Glasgow, Partick";;;
"Doune Place";;;"Kelvinside";;;
"Doune Terrace";;;"Kelvinside";;;
"Dovehill ";;;;"Great Dovehill, Little Dovehill";;
"Dover Street";;;;;;
"Dowanhill Gardens";;;"Hillhead";;;
"Dowanhill Place";;;"Partick";;;
"Dowanhill Street";;;"Partick";;;
"Dowanvale Terrace";;;"Partick";;;
"Downie Place";;;"Partick";;;
"Drummond Street";;;;;;
"Drury Street";;;;;;
"Drygate";;;;;;
"Duke Street";;;;"norht, south";;
"Dumbarton Road";;;"Glasgow, Partick";"south, north, old";;
"Duncan Street";;;;;;
"Dunchattan Street";;;;;;
"Dundas Lane";;;;;;
"Dundas Street";;;"Glasgow, Kingston";;;
"Dundas Terrace";;;"Crosshill";;;
"Dundonald Road";;;"Kelvinside";;;
"Dunedin Place";;;"Govanhill";;;
"Dunkelt Place";;;"Hillhead ";;;
"Dunlop Street";;;;;;
"Dunmore Place";;;;;;
"Dunmore Terrace";;;;;;
"Dunn Street";;;;;;
"Dunrobin Place";;;;;;
"Dyer's Lane";;;;;;
"Eaglesham Street";;;;;;
"Eastfield Place";;;"Springburn";;;
"eastfield Street";;;"Springburn";;;
"Easton Terrace";;;;;;
"Edgefauld Terrace";;;"Springburn";;;
"Edmund Street";;;"Dennistoun, Overnewton";;;
"Eglinton Lane";;;;;;
"Eglinton Street";;;;"east, west";;
"Eglinton Terrace";;;"Crosshill";;;
"Eildon Villas";;;"Mount Florida";;;
"Elcho Place";;;"Strathbungo";;;
"Elderslie Place";;;;;;
"Elderslie Street";;;;;;
"Eldon Street";;;;;;
"Eldon Terrace";;;"Partick";;;
"Elgin Place";;;;"south";;
"Elgin Street";;;;;;
"Elgin Terrace";;;"Partick";;;
"Elliton Street";;;"Glasgow, Hillhead";;;
"Elm Street";;;;;;
"Elmbank Crescent";;;;;;
"Elmbank Street";;;;;;
"Elmbank Place";;;;;;
"Emily Place";;;;;;
"Ethel Terrace";;;"Mount Florida";;;
"Eton Gardens";;;"Hillhead";;;
"Eton Place";;;"Hillhead";;;
"Ettrick Terrace";;;"Kelvinside";;;
"Fairlie Bank";;;"Partick";;;
"Fairlie Park";;;"Partick";;;
"Falkland Place";;;;;;
"Fauldhouse Street";;;;;;
"Ferguson Street";;;;;;
"Fielden Street";;;;;;
"Fife Place";;;;;;
"Findlay Drive";;;;;;
"Findlay Street";;;;;;
"Finlayson Place";;;"Kelvinside";;;
"Finnieston Quay";;;;;;
"Finnieston Street";;;;;;
"Firhill Road";;;;;;
"Firpark Terrace";;;"Dennistoun";;;
"Fisher Street";;;;;;
"Fitzroy Place";;;;;;
"Fleming Street";;;;;;
"Flemington Street";;;;;;
"Florentine Gardens";;;"Hillhead";;;
"Florence Place";;;;;;
"Florence Street";;;;;;
"Fordneuk Street";;;;;;
"Foremount Terrace";;;"Partick";;;
"Forth Street";;;"Glasogw, Pollockshields";;;
"Fountainwell Road";;;"Springburn";;;
"Franklink Place";;;;;;
"Franklin Street";;;"Bridgeton";;;
"Franklin Terrace";;;;;;
"Fraser Street";;;;;;
"Frederick Lane";;;;;;
"Frederick Street";;;;;;
"French Street";;;;;;
"Gairbraid Street";;;;;;
"Galbraith Street";;;;;;
"Gallowgate";;;;;;
"Garden Place ";;;;;;
"Garden Street";;;;;;
"Garden Terrace";;;;;;
